manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class,age,avg,highEfficiency,origin,id
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv,14,0.3611111111111111,FALSE,domestic,129
jeep,grand cherokee 4wd,6.1,2008,8,auto(l5),4,11,14,p,suv,14,0.39285714285714285,FALSE,domestic,130
land rover,range rover,4,1999,8,auto(l4),4,11,15,p,suv,23,0.36666666666666664,FALSE,foreign,131
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv,14,0.3333333333333333,FALSE,foreign,132
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv,14,0.3333333333333333,FALSE,foreign,133
land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv,23,0.36666666666666664,FALSE,foreign,134
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv,23,0.3235294117647059,FALSE,domestic,135
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv,23,0.34375,FALSE,domestic,136
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv,14,0.3333333333333333,FALSE,domestic,137
mercury,mountaineer 4wd,4,1999,6,auto(l5),4,14,17,r,suv,23,0.4117647058823529,FALSE,domestic,138
mercury,mountaineer 4wd,4,2008,6,auto(l5),4,13,19,r,suv,14,0.34210526315789475,FALSE,domestic,139
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv,14,0.34210526315789475,FALSE,domestic,140
mercury,mountaineer 4wd,5,1999,8,auto(l4),4,13,17,r,suv,23,0.38235294117647056,FALSE,domestic,141
nissan,altima,2.4,1999,4,manual(m5),f,21,29,r,compact,23,0.3620689655172414,TRUE,foreign,142
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact,23,0.35185185185185186,TRUE,foreign,143
nissan,altima,2.5,2008,4,auto(av),f,23,31,r,midsize,14,0.3709677419354839,TRUE,foreign,144
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize,14,0.359375,TRUE,foreign,145
nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize,14,0.35185185185185186,TRUE,foreign,146
nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize,14,0.36538461538461536,TRUE,foreign,147
nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize,23,0.34615384615384615,TRUE,foreign,148
nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize,23,0.38,TRUE,foreign,149
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize,14,0.38,TRUE,foreign,150
nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv,23,0.4117647058823529,FALSE,foreign,151
nissan,pathfinder 4wd,3.3,1999,6,manual(m5),4,15,17,r,suv,23,0.4411764705882353,FALSE,foreign,152
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv,14,0.35,FALSE,foreign,153
nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv,14,0.3333333333333333,FALSE,foreign,154
pontiac,grand prix,3.1,1999,6,auto(l4),f,18,26,r,midsize,23,0.34615384615384615,TRUE,domestic,155
pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize,23,0.3076923076923077,TRUE,domestic,156
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize,23,0.3148148148148148,TRUE,domestic,157
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize,14,0.32142857142857145,TRUE,domestic,158
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize,14,0.32,TRUE,domestic,159
subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv,23,0.36,TRUE,foreign,160
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv,23,0.375,TRUE,foreign,161
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv,14,0.37037037037037035,TRUE,foreign,162
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv,14,0.38,TRUE,foreign,163
subaru,forester awd,2.5,2008,4,auto(l4),4,20,26,r,suv,14,0.38461538461538464,TRUE,foreign,164
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv,14,0.391304347826087,FALSE,foreign,165
subaru,impreza awd,2.2,1999,4,auto(l4),4,21,26,r,subcompact,23,0.40384615384615385,TRUE,foreign,166
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact,23,0.36538461538461536,TRUE,foreign,167
subaru,impreza awd,2.5,1999,4,manual(m5),4,19,26,r,subcompact,23,0.36538461538461536,TRUE,foreign,168
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact,23,0.36538461538461536,TRUE,foreign,169
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compact,14,0.4,TRUE,foreign,170
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,27,r,compact,14,0.37037037037037035,TRUE,foreign,171
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact,14,0.38,TRUE,foreign,172
subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compact,14,0.37037037037037035,TRUE,foreign,173
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv,23,0.375,FALSE,foreign,174
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv,23,0.4,FALSE,foreign,175
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv,23,0.39473684210526316,FALSE,foreign,176
toyota,4runner 4wd,3.4,1999,6,manual(m5),4,15,17,r,suv,23,0.4411764705882353,FALSE,foreign,177
toyota,4runner 4wd,4,2008,6,auto(l5),4,16,20,r,suv,14,0.4,FALSE,foreign,178
toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv,14,0.4117647058823529,FALSE,foreign,179
toyota,camry,2.2,1999,4,manual(m5),f,21,29,r,midsize,23,0.3620689655172414,TRUE,foreign,180
toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize,23,0.3888888888888889,TRUE,foreign,181
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize,14,0.3387096774193548,TRUE,foreign,182
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize,14,0.3387096774193548,TRUE,foreign,183
toyota,camry,3,1999,6,auto(l4),f,18,26,r,midsize,23,0.34615384615384615,TRUE,foreign,184
toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize,23,0.34615384615384615,TRUE,foreign,185
toyota,camry,3.5,2008,6,auto(s6),f,19,28,r,midsize,14,0.3392857142857143,TRUE,foreign,186
toyota,camry solara,2.2,1999,4,auto(l4),f,21,27,r,compact,23,0.3888888888888889,TRUE,foreign,187
toyota,camry solara,2.2,1999,4,manual(m5),f,21,29,r,compact,23,0.3620689655172414,TRUE,foreign,188
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact,14,0.3387096774193548,TRUE,foreign,189
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact,14,0.3548387096774194,TRUE,foreign,190
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact,23,0.34615384615384615,TRUE,foreign,191
toyota,camry solara,3,1999,6,manual(m5),f,18,26,r,compact,23,0.34615384615384615,TRUE,foreign,192
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact,14,0.3333333333333333,TRUE,foreign,193
toyota,corolla,1.8,1999,4,auto(l3),f,24,30,r,compact,23,0.4,TRUE,foreign,194
toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact,23,0.36363636363636365,TRUE,foreign,195
toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact,23,0.37142857142857144,TRUE,foreign,196
toyota,corolla,1.8,2008,4,manual(m5),f,28,37,r,compact,14,0.3783783783783784,TRUE,foreign,197
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact,14,0.37142857142857144,TRUE,foreign,198
toyota,land cruiser wagon 4wd,4.7,1999,8,auto(l4),4,11,15,r,suv,23,0.36666666666666664,FALSE,foreign,199
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv,14,0.3611111111111111,FALSE,foreign,200
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup,23,0.375,FALSE,foreign,201
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup,23,0.4,FALSE,foreign,202
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup,14,0.38636363636363635,FALSE,foreign,203
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup,23,0.4411764705882353,FALSE,foreign,204
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup,23,0.39473684210526316,FALSE,foreign,205
toyota,toyota tacoma 4wd,4,2008,6,manual(m6),4,15,18,r,pickup,14,0.4166666666666667,FALSE,foreign,206
toyota,toyota tacoma 4wd,4,2008,6,auto(l5),4,16,20,r,pickup,14,0.4,FALSE,foreign,207
volkswagen,gti,2,1999,4,manual(m5),f,21,29,r,compact,23,0.3620689655172414,TRUE,foreign,208
volkswagen,gti,2,1999,4,auto(l4),f,19,26,r,compact,23,0.36538461538461536,TRUE,foreign,209
volkswagen,gti,2,2008,4,manual(m6),f,21,29,p,compact,14,0.3620689655172414,TRUE,foreign,210
volkswagen,gti,2,2008,4,auto(s6),f,22,29,p,compact,14,0.3793103448275862,TRUE,foreign,211
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact,23,0.3541666666666667,TRUE,foreign,212
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact,23,0.375,TRUE,foreign,213
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact,23,0.3620689655172414,TRUE,foreign,214
volkswagen,jetta,2,1999,4,auto(l4),f,19,26,r,compact,23,0.36538461538461536,TRUE,foreign,215
volkswagen,jetta,2,2008,4,auto(s6),f,22,29,p,compact,14,0.3793103448275862,TRUE,foreign,216
volkswagen,jetta,2,2008,4,manual(m6),f,21,29,p,compact,14,0.3620689655172414,TRUE,foreign,217
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact,14,0.3620689655172414,TRUE,foreign,218
volkswagen,jetta,2.5,2008,5,manual(m5),f,21,29,r,compact,14,0.3620689655172414,TRUE,foreign,219
volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact,23,0.34782608695652173,FALSE,foreign,220
volkswagen,jetta,2.8,1999,6,manual(m5),f,17,24,r,compact,23,0.3541666666666667,TRUE,foreign,221
volkswagen,new beetle,1.9,1999,4,manual(m5),f,35,44,d,subcompact,23,0.3977272727272727,TRUE,foreign,222
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact,23,0.35365853658536583,TRUE,foreign,223
volkswagen,new beetle,2,1999,4,manual(m5),f,21,29,r,subcompact,23,0.3620689655172414,TRUE,foreign,224
volkswagen,new beetle,2,1999,4,auto(l4),f,19,26,r,subcompact,23,0.36538461538461536,TRUE,foreign,225
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact,14,0.35714285714285715,TRUE,foreign,226
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact,14,0.3448275862068966,TRUE,foreign,227
volkswagen,passat,1.8,1999,4,manual(m5),f,21,29,p,midsize,23,0.3620689655172414,TRUE,foreign,228
volkswagen,passat,1.8,1999,4,auto(l5),f,18,29,p,midsize,23,0.3103448275862069,TRUE,foreign,229
volkswagen,passat,2,2008,4,auto(s6),f,19,28,p,midsize,14,0.3392857142857143,TRUE,foreign,230
volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize,14,0.3620689655172414,TRUE,foreign,231
volkswagen,passat,2.8,1999,6,auto(l5),f,16,26,p,midsize,23,0.3076923076923077,TRUE,foreign,232
volkswagen,passat,2.8,1999,6,manual(m5),f,18,26,p,midsize,23,0.34615384615384615,TRUE,foreign,233
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize,14,0.3269230769230769,TRUE,foreign,234
